id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
QV-11,Qualidade de Vida,,,Identificar as necessidades de melhorias ergonômicas,,Curto,contínuo,,Diagnóstico realizado,,,Não iniciada,0,,,PDF p.136,Todos
QV-12,Qualidade de Vida,,,Identificar os possíveis programas de qualidade de vida a serem implementados na UFSB,,Curto,contínuo,,Diagnóstico realizado,,,Não iniciada,0,,,PDF p.136,Todos
QV-13,Qualidade de Vida,,,Definir um cronograma de prioridades para implementação das melhorias ergonômicas e programas de qualidade de vida,,Curto,contínuo,,Implementação das melhorias ergonômicas e dos programas de QVT,,,Não iniciada,0,,,PDF p.136,Todos
QV-14,Qualidade de Vida,,,Identificar interesses dos servidores em programas de atividades de práticas corporais e atividade física por meio de formulários,,Curtíssimo,contínuo,,Diagnóstico realizado,,,Não iniciada,0,,,PDF p.136,Todos
QV-15,Qualidade de Vida,,,"A partir dos interesses, criar programas de atividades de práticas corporais e atividade física, como exemplo Yoga",,Curtíssimo,contínuo,,Número de programas criados e adesão do público,,,Não iniciada,0,,,PDF p.136,Todos
QV-16,Qualidade de Vida,,,Divulgar os programas de atividades de práticas corporais e atividade física já existentes na universidade.,,Curtíssimo,contínuo,,Notícias e chamadas publicadas no site e redes sociais oficiais da UFSB,,,Não iniciada,0,,,PDF p.136,Todos
QV-17,Qualidade de Vida,,,"Realizar ações educativas por meio de palestras, cartilhas, vídeos e outras ferramentas com informações sobre o tabagismo e seus impactos na saúde.",,Curto,permanente,,"Número de palestras realizadas, cartilhas e vídeos produzidos",,,Não iniciada,0,,,PDF p.137,Todos
QV-18,Qualidade de Vida,,,"Realizar ações educativas por meio de palestras, cartilhas, vídeos e outras ferramentas com informações sobre o álcool e outras drogas e seus impactos na saúde",,Curto,permanente,,"Número de palestras realizadas, cartilhas e vídeos produzidos",,,Não iniciada,0,,,PDF p.137,Todos
QV-19,Qualidade de Vida,,,Identificar interesse pelos servidores sobre temas na área de alimentação e nutrição,,Curto,permanente,,Diagnóstico realizado,,,Não iniciada,0,,,PDF p.137,Todos
QV-20,Qualidade de Vida,,,"Realizar ações educativas por meio de palestras, cartilhas, vídeos e outras ferramentas sobre os temas escolhidos.",,Curto,permanente,,"Número de palestras realizadas, cartilhas e vídeos produzidos",,,Não iniciada,0,,,PDF p.137,Todos
QV-21,Qualidade de Vida,,,Promover treinamentos e oficinas sobre comunicação e mediação de conflitos. Uma sugestão é a ferramenta de Comunicação não violenta (CNV),,Curto,permanente,,Treinamentos realizados,,,Não iniciada,0,,,PDF p.138,Todos
QV-22,Qualidade de Vida,,,Divulgar informações via e-mail ou site institucional sobre comunicação e mediação de conflitos,,Curtíssimo,permanente,,Público alcançado,,,Não iniciada,0,,,PDF p.138,Todos
QV-23,Qualidade de Vida,,,Contratar especialista em estudos de personalidade,,Curto a Médio,,,Número de servidores remanejados ou contratados,,,Não iniciada,0,,,PDF p.138,Todos
QV-24,Qualidade de Vida,,,"Realizar estudos de personalidade, destacando o potencial do trabalho colaborativo em equipes heterogêneas",,Curto,permanente,,Diagnóstico realizado,,,Não iniciada,0,,,PDF p.138,Todos
